id,food_name,url,raw_ingredients
37,김치볶음밥,https://www.10000recipe.com/recipe/6865385?srsltid=AfmBOoqXizJVlKl48xnn_khtdqYEpemIf_amnfYeHEzVx26rTRIb1Wsp,[재료] 김치 1국그릇 구매 베이컨 3장 구매 대파 1개 구매 달걀 2개 구매 식용유 or 올리브유 약간 구매 간장 1스푼 구매
38,비빔냉면,https://www.10000recipe.com/recipe/6874995?srsltid=AfmBOor8awNaCda774wvQ1QsACcLfErzejXR8zqwS4vUrb9K_nSy2B40,[재료] 고추장 2 구매 간장 1 구매 고춧가루 1 구매 설탕 1 구매 식초 1 구매 사이다 2 구매 매실액 1 구매 파 구매 마늘 구매 통깨 구매
39,떡볶이,https://www.10000recipe.com/recipe/6858080?srsltid=AfmBOoplnpjmF1cPOvpPVp8TTvofQCfZv2WWzYV-7N_qoEHVCDIf82Lu,[재료] 떡 400g 구매 물 2컵 구매 대파 1컵 구매 [양념장] 설탕 4T 구매 간장 2T 구매 고추장 1T 구매 고춧가루 1T 구매
40,로제떡볶이,https://www.10000recipe.com/recipe/6966953?srsltid=AfmBOoorNeIx0N0mJRPDP24x3HopgX2CWPsMjhUaD6Ke1ajf-vSn6bi9,[재료] 떡볶이 떡 360g 구매 비엔나 소시지 8개 구매 대파 1대 구매 양파 1/2개 구매 어묵 2장 구매 우유 400ml 구매 다진 마늘 1스푼 구매 파마산 치즈가루 1T 구매 체다치즈 1장 구매 식용유 적당량 구매 [양념 재료] 고추장 1.5T 구매 고춧가루 1T 구매 간장 1T 구매 카레가루 0.5T 구매 설탕 0.5T 구매
41,소고기육회,https://www.10000recipe.com/recipe/6865491?srsltid=AfmBOopkcYABRMjAiYQSQYt-emi3IVETl3vnVEhJ4ChqddMPP6UGauXJ,[재료] 소고기 앞다리/우둔/엉덩이 1/2근 구매 배 1/3개 구매 쪽파 2대 구매 계란 노른자 1알 구매 [양념장] 소금 1/2T 구매 설탕 1/2T 구매 국간장 1/2T 구매 참기름 1T 구매 매실액 1/2T 구매 다진마늘 1T 구매 통깨 1/2T 구매
42,떡갈비,https://www.10000recipe.com/recipe/6851683?srsltid=AfmBOorxoupnlcb7gJU7MQgi1_sOlYs8rZ3iT1_twgFiOID5SQ7lNuf5,[주재료] 소고기다진것 600g 구매 돼지고기다짐육 400g 구매 [양념] 간장 7Ts 구매 설탕 3Ts 구매 올리고당 2Ts 구매 참기름 1Ts 구매 마늘 1Ts 구매 생강즙 2Ts 구매 배즙 이나 양파즙 4Ts 구매 다진파 2Ts 구매 [유장] 참기름 1Ts 구매 간장 1ts 구매 꿀 1ts 구매
43,소곱창구이,https://www.10000recipe.com/recipe/6880402?srsltid=AfmBOorjqqPn77yBdROoRV2W9k0W_4W_WSM_BTbBggq6UrVwEgtNB--t,[재료] 곱창 1kg 구매 감자 2개 구매 참기름 1스푼 구매
44,두부조림,https://www.10000recipe.com/recipe/6891526?srsltid=AfmBOoo5NgKl25wZ1DJ7XEMvVp4ktE-GxsIXUGKkjwaUqNv9RHYi0apS,[재료 ] 두부 1모 구매 물 1/4컵 구매 소금 약간 구매 [양념] 고춧가루 1스푼 구매 간장 3스푼 구매 맛술 1스푼 구매 다진 마늘 0.5스푼 구매 다진 대파 3스푼 구매 설탕 0.5스푼 구매 참기름 1스푼 구매
45,제육타코,https://m.blog.naver.com/peace8012/222622812480,[재료] 또또아 6인치 4장 구매 돼지고기 앞다리살 300g 구매 양파 1/2개 구매 대파 1/2대 구매 양배추 2줌 구매 슈레드 치즈 1컵 구매 [돼지고기 밑간] 간장 1T 구매 맛술 1T 구매 다진마늘 0.5T 구매 후추 약간 구매 [제육 양념 소스] 고추장 1T 구매 고춧가루 1.5T 구매 진간장 1T 구매 올리고당 1.5T 구매 [타코 토핑 소스] 사워크림 적당량 구매 칠리소스 적당량 구매
46,김치치즈볼,https://www.10000recipe.com/recipe/6849617,[재료] 신김치 1/4포기 구매 밥 2공기 구매 모짜렐라 스트링치즈 3개 구매 튀김가루 1컵 구매 빵가루 1컵 구매 달걀 2개 구매 [양념] 설탕 0.5T 구매 참기름 1T 구매 통깨 1T 구매 식용유 적당량 구매
47,등갈비바베큐,https://www.10000recipe.com/recipe/6870497?srsltid=AfmBOoqG5i_Vh6xqPxMlP0nVVCMrZxAgr798Iu3ZEYfDOWbXT1CoWb1w,[주재료] 등갈비 1대 구매 월계수잎 1개 구매 통마늘 5톨 구매 양파 1/2개 구매 사과 없음패스 1/2개 구매 대파 약간 구매 통후추 약간 구매 냉동 감자튀김 1줌 구매 [양념] 다진양파 2Ts 구매 다진 샐러리 없음패스 2Ts 구매 바베큐소스 100ml 구매 우스터소스 1Ts 구매 토마토케찹 3Ts 구매 올리고당 1Ts 구매 설탕 2Ts 구매 간장 3Ts 구매 핫소스 2Ts 구매 간마늘 1.5Ts 구매 소주 1Ts 구매 생강즙 1/2ts 구매 레몬즙 1Ts 구매
48,순대볶음,https://www.10000recipe.com/recipe/6712470?srsltid=AfmBOorqB-Ytpvxa5HcRV4EzcGgDf-8txAgAkz1e_AkQZ1IFa2Xi4Jwu,[재료] 순대 500g 구매 양파 구매 양배추 구매 당근 구매 파 구매 홍고추 구매 깻순 약간 구매 [양념] 고춧가루 3큰술 구매 고추장 2큰술 구매 설탕 2큰술 구매 간장 4큰술 구매 마늘 1큰술 구매 들깨가루 조금 구매
49,순두부찌개,https://www.10000recipe.com/recipe/6912220?srsltid=AfmBOoo6_60UnRntI2d61MmDI1DSeySszJWkFZYqohMRUjXx0w48MV2x,[재료] 순두부 구매 대파 1/4개 구매 양파 1/4개 구매 애호박 1/4개 구매 청양고추 1개 구매 달걀 1개 구매 참기름 1큰술 구매 식용유 2큰술 구매 고추가루 1.5큰술 구매 소금 1/2큰술 구매 설탕 1꼬집 구매 굴소스 1큰술 구매 간장 1큰술 구매 다진 마늘 1큰술 구매 멸치육수 구매
50,부대찌개,https://www.10000recipe.com/recipe/6884636?srsltid=AfmBOorQzVAxMO3jMimZIvlpQQWB9sHA7362uk_5j35tfnNCarUwLHzk,[재료] 김치 1줌 1/4밥그릇 구매 비엔나 20개 구매 스팸 1개 구매 두부 1/3모 구매 떡 1줌 구매 대파 10센티 4개 구매 홍고추 2개 구매 청양고추 큰거 2개 구매 사골곰탕 1봉지 구매 [양념] 된장 1/2큰술 구매 고추가루 4큰술 구매 마늘 2큰술 구매 국간장 2큰술 구매 설탕 1/2큰술 구매 물 1/2소주컵 구매
51,감자탕,https://www.10000recipe.com/recipe/6873935?srsltid=AfmBOooRgHmra7iar2krtGWL7KjG6pXntx1Lk67WcOvqAafSFX-AUD0L,[재료] 돼지등뼈 1.3kg 구매 감자 2개 구매 무청 1줌 구매 대파 1대 구매 깻잎 약간 구매 물 적당량 구매 [양념] 고추장 1큰술 구매 된장 1큰술 구매 고춧가루 3큰술 구매 다진마늘 1큰술 구매 국간장 1/2컵 구매 액젓 3큰술 구매 들깨가루 4~5큰술 구매
